"State and other areas 2","","","Total 3","United States 4",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming,"Puerto Rico","Island Areas: 5","American Samoa",Guam,"Northern Mariana Islands","U.S. Virgin Islands"
"Total Area","","Sq. Mi.","3,805,927","3,796,742","52,420","665,384","113,990","53,179","163,695","104,094","5,543","2,489",68,"65,758","59,425","10,932","83,569","57,914","36,420","56,273","82,278","40,408","52,378","35,380","12,406","10,554","96,714","86,936","48,432","69,707","147,040","77,348","110,572","9,349","8,723","121,590","54,555","53,819","70,698","44,826","69,899","98,379","46,054","1,545","32,020","77,116","42,144","268,596","84,897","9,616","42,775","71,298","24,230","65,496","97,813","5,325","3,860",581,571,"1,976",733
"","","Sq. Km.","9,857,306","9,833,517","135,767","1,723,337","295,234","137,732","423,967","269,601","14,357","6,446",177,"170,312","153,910","28,313","216,443","149,995","94,326","145,746","213,100","104,656","135,659","91,633","32,131","27,336","250,487","225,163","125,438","180,540","380,831","200,330","286,380","24,214","22,591","314,917","141,297","139,391","183,108","116,098","181,037","254,799","119,280","4,001","82,933","199,729","109,153","695,662","219,882","24,906","110,787","184,661","62,756","169,635","253,335","13,791","9,998","1,505","1,478","5,117","1,898"
"Land Area 1","","Sq. Mi.","3,535,932","3,531,905","50,645","570,641","113,594","52,035","155,779","103,642","4,842","1,949",61,"53,625","57,513","6,423","82,643","55,519","35,826","55,857","81,759","39,486","43,204","30,843","9,707","7,800","56,539","79,627","46,923","68,742","145,546","76,824","109,781","8,953","7,354","121,298","47,126","48,618","69,001","40,861","68,595","95,988","44,743","1,034","30,061","75,811","41,235","261,232","82,170","9,217","39,490","66,456","24,038","54,158","97,093","3,424",603,76,210,182,134
"","","Sq. Km.","9,158,022","9,147,593","131,171","1,477,953","294,207","134,771","403,466","268,431","12,542","5,047",158,"138,887","148,959","16,635","214,045","143,793","92,789","144,669","211,754","102,269","111,898","79,883","25,142","20,202","146,435","206,232","121,531","178,040","376,962","198,974","284,332","23,187","19,047","314,161","122,057","125,920","178,711","105,829","177,660","248,608","115,883","2,678","77,857","196,350","106,798","676,587","212,818","23,871","102,279","172,119","62,259","140,268","251,470","8,868","1,562",198,543,472,348
"Water Area 1",Total,"Sq. Mi.","269,995","264,837","1,775","94,743",396,"1,143","7,916",452,701,540,7,"12,133","1,912","4,509",926,"2,395",593,416,520,921,"9,174","4,537","2,699","2,754","40,175","7,309","1,509",965,"1,494",524,791,397,"1,368",292,"7,429","5,201","1,698","3,965","1,304","2,391","1,312",511,"1,960","1,305",909,"7,365","2,727",400,"3,285","4,842",192,"11,339",720,"1,901","3,257",505,361,"1,793",599
"","","Sq. Km.","699,284","685,924","4,597","245,383","1,026","2,961","20,501","1,170","1,816","1,399",19,"31,424","4,951","11,678","2,398","6,202","1,537","1,077","1,346","2,387","23,761","11,750","6,990","7,134","104,052","18,930","3,907","2,501","3,869","1,356","2,048","1,027","3,544",757,"19,240","13,471","4,397","10,269","3,377","6,191","3,397","1,324","5,076","3,379","2,355","19,075","7,064","1,035","8,508","12,542",497,"29,367","1,864","4,924","8,436","1,307",935,"4,644","1,550"
"",Inland,"Sq. Mi.","85,763","85,647","1,058","19,304",396,"1,143","2,833",452,171,91,7,"5,027","1,412",42,926,820,361,416,520,921,"4,562","2,314",768,486,"2,001","4,763",769,965,"1,494",524,791,328,436,292,"1,989","4,052","1,698",474,"1,304","1,068",563,182,"1,064","1,305",909,"5,616","2,727",400,"1,282","1,715",192,"1,997",720,76,40,8,8,6,18
"","","Sq. Km.","222,125","221,824","2,740","49,997","1,026","2,961","7,339","1,170",443,237,19,"13,019","3,657",109,"2,398","2,124",935,"1,077","1,346","2,387","11,815","5,992","1,990","1,258","5,182","12,336","1,992","2,501","3,869","1,356","2,048",849,"1,128",757,"5,151","10,495","4,397","1,227","3,377","2,766","1,459",470,"2,755","3,379","2,355","14,546","7,064","1,035","3,320","4,441",497,"5,172","1,864",198,104,21,21,16,46
"",Coastal,"Sq. Mi.","42,371","42,337",517,"26,119","—","—",245,"—",530,355,"—","1,349",46,9,"—","—","—","—","—","—","2,880",591,"1,820","1,177","—","—",616,"—","—","—","—","—",427,"—",975,"—","—","—","—",72,"—",64,110,"—","—",401,"—","—","1,565","2,468","—","—","—",13,22,"—",1,5,16
"","","Sq. Km.","109,742","109,652","1,340","67,647","—","—",634,"—","1,372",920,"—","3,495",119,23,"—","—","—","—","—","—","7,460","1,530","4,714","3,048","—","—","1,596","—","—","—","—","—","1,105","—","2,526","—","—","—","—",186,"—",165,286,"—","—","1,040","—","—","4,053","6,392","—","—","—",34,56,"—",2,13,40
"","Great Lakes","Sq. Mi.","60,094","60,094","—","—","—","—","—","—","—","—","—","—","—","—","—","1,575",233,"—","—","—","—","—","—","—","38,174","2,546","—","—","—","—","—","—","—","—","3,986","—","—","3,491","—","—",748,"—","—","—","—","—","—","—","—","—","—","9,342","—","—","—","—","—","—","—"
"","","Sq. Km.","155,643","155,643","—","—","—","—","—","—","—","—","—","—","—","—","—","4,078",602,"—","—","—","—","—","—","—","98,870","6,594","—","—","—","—","—","—","—","—","10,324","—","—","9,042","—","—","1,938","—","—","—","—","—","—","—","—","—","—","24,195","—","—","—","—","—","—","—"
"",Territorial,"Sq. Mi.","81,767","76,759",199,"49,320","—","—","4,837","—","—",94,"—","5,757",453,"4,458","—","—","—","—","—","—","1,732","1,633",111,"1,092","—","—",123,"—","—","—","—",69,506,"—",479,"1,149","—","—","—","1,251","—",266,786,"—","—","1,347","—","—",438,660,"—","—","—","1,812","3,196",497,352,"1,782",565
"","","Sq. Km.","211,774","198,806",516,"127,739","—","—","12,528","—","—",242,"—","14,911","1,175","11,546","—","—","—","—","—","—","4,486","4,228",286,"2,829","—","—",318,"—","—","—","—",178,"1,311","—","1,240","2,976","—","—","—","3,240","—",688,"2,036","—","—","3,489","—","—","1,135","1,709","—","—","—","4,692","8,277","1,286",911,"4,615","1,464"
"Internal Point - Latitude Value","","","","","+32.7396323","+63.3461910","+34.2099643","+34.8955256","+37.1485730","+38.9935752","+41.5797842","+38.9935501","+38.9041485","+28.4574302","+32.6293840","+19.8097670","+44.3020948","+40.1028754","+39.9030256","+42.0700243","+38.4985464","+37.5336807","+30.8577705","+45.3906022","+38.9466584","+42.1565196","+44.8410835","+46.3161343","+32.6864655","+38.3507500","+47.0511771","+41.5438105","+39.3310928","+43.6708595","+40.1072744","+34.4391265","+42.9133974","+35.5397100","+47.4569538","+40.4149297","+35.5894185","+43.9715225","+40.9042486","+41.5978358","+33.8741769","+44.4467957","+35.8585639","+31.4347032","+39.3349735","+44.0605475","+37.5222512","+47.4162296","+38.6472854","+44.6284840","+42.9918024","+18.2176480","",-14.2638166,"+13.4383000","+14.9367835","+18.3267485"
"Internal Point - Longitude Value","","","","",-086.8434593,-152.8370679,-111.6024010,-092.4446262,-119.5406515,-105.5077737,-072.7466666,-075.4473739,-077.0170942,-082.4091478,-083.4232125,-155.5061027,-114.5956254,-089.1526108,-086.2839503,-093.4933473,-098.3834298,-085.2929841,-091.8032730,-068.6574869,-076.6744939,-071.4895915,-085.6593197,-094.1994801,-089.6561493,-092.4567826,-109.6348174,-099.8123253,-116.6151469,-071.5811278,-074.6652012,-106.1261511,-075.5962723,-079.1308636,-100.4619304,-082.7119975,-097.4868683,-120.6226269,-077.8280624,-071.5252895,-080.8542699,-100.2381762,-086.3493573,-099.2818238,-111.6563633,-072.6733540,-078.6681938,-120.5996231,-080.6183274,-089.7119299,-107.5419255,-066.4107992,"",-170.6620902,"+144.7729285","+145.6010210",-064.9712501
