State,"North Latitude","West Longitude"
Alabama,"33° 00′ 29″","86° 45′ 25″"
Alaska,"61° 23′ 60″","148° 52′ 26″"
Arizona,"33° 22′ 06″","111° 51′ 52″"
Arkansas,"35° 08′ 33″","92° 39′ 19″"
California,"35° 27′ 49″","119° 19′ 31″"
Colorado,"39° 30′ 48″","105° 12′ 29″"
Connecticut,"41° 29′ 49″","72° 52′ 13″"
Delaware,"39° 21′ 32″","75° 33′ 25″"
"District of Columbia","38° 54′ 37″","77° 00′ 52″"
Florida,"27° 49′ 22″","81° 38′ 05″"
Georgia,"33° 22′ 37″","83° 52′ 58″"
Hawaii,"21° 06′ 55″","157° 29′ 04″"
Idaho,"44° 13′ 07″","115° 10′ 43″"
Illinois,"41° 17′ 12″","88° 23′ 25″"
Indiana,"40° 08′ 57″","86° 15′ 34″"
Iowa,"41° 56′ 46″","93° 02′ 12″"
Kansas,"38° 27′ 54″","96° 27′ 46″"
Kentucky,"37° 49′ 28″","85° 14′ 54″"
Louisiana,"30° 43′ 22″","91° 30′ 32″"
Maine,"44° 17′ 60″","69° 44′ 11″"
Maryland,"39° 08′ 27″","76° 47′ 52″"
Massachusetts,"42° 16′ 20″","71° 21′ 48″"
Michigan,"42° 52′ 23″","84° 12′ 12″"
Minnesota,"45° 12′ 13″","93° 34′ 19″"
Mississippi,"32° 35′ 27″","89° 34′ 46″"
Missouri,"38° 25′ 26″","92° 11′ 54″"
Montana,"46° 47′ 13″","111° 17′ 46″"
Nebraska,"41° 10′ 27″","97° 18′ 56″"
Nevada,"37° 02′ 37″","116° 11′ 30″"
"New Hampshire","43° 09′ 17″","71° 27′ 43″"
"New Jersey","40° 25′ 55″","74° 25′ 56″"
"New Mexico","34° 37′ 58″","106° 21′ 16″"
"New York","41° 30′ 05″","74° 37′ 15″"
"North Carolina","35° 32′ 35″","79° 39′ 30″"
"North Dakota","47° 20′ 54″","99° 18′ 34″"
Ohio,"40° 27′ 19″","82° 46′ 24″"
Oklahoma,"35° 35′ 54″","96° 50′ 12″"
Oregon,"44° 44′ 36″","122° 35′ 07″"
Pennsylvania,"40° 27′ 24″","77° 00′ 35″"
"Rhode Island","41° 45′ 13″","71° 27′ 03″"
"South Carolina","34° 01′ 31″","81° 00′ 40″"
"South Dakota","44° 00′ 52″","99° 00′ 08″"
Tennessee,"35° 48′ 29″","86° 21′ 33″"
Texas,"30° 54′ 19″","97° 21′ 56″"
Utah,"40° 24′ 05″","111° 55′ 37″"
Vermont,"44° 05′ 42″","72° 48′ 59″"
Virginia,"37° 48′ 37″","77° 48′ 40″"
Washington,"47° 19′ 51″","121° 37′ 12″"
"West Virginia","38° 47′ 44″","80° 43′ 53″"
Wisconsin,"43° 43′ 19″","89° 01′ 08″"
Wyoming,"42° 41′ 49″","107° 01′ 09″"
